"nombre,""area"",""estado"""
"Ingenieria de Sistemas,""Ingenieria"",""activa"""
"Administracion de Mercadeo,""Administracion"",""activa"""
"Antropoligia,""Ciencias Sociales"","",activa"""
"Arquitectura,""General"",""activa"""
"Artes Plasticas,""Artes"",""activa"""
"Biologia,""Ciencias"",""activa"""
"Ciencia Politica,""General"",""activa"""
"Ciencias de la Computacion,""General"",""activa"""
"Cine y Television,""Artes"",""activa"""
"Contaduria Publica,""Administracion"",""activa"""
"Derecho,""Ciencias Sociales"",""activa"""
"Diseþo Grafico,""Artes"",""activa"""
"Diseþo Industrial,""Artes"",""activa"""
"Economia,""Administracion"",""activa"""
"Enfermeria,""Salud"",""activa"""
"Espaþol y FilologiÙa Clasica,""General"",""activa"""
"EstadiÙstica,""Ciencias"",""activa"""
"Estudios Literarios,""General"",""activa"""
"Farmacia,""General"",""activa"""
"Filologia e Idiomas (Ingles/Frances/Aleman),""General"",""activa"""
"Filosofia,""Ciencias Sociales"",""activa"""
"Fisica,""General"",""activa"""
"Fisioterapia,""Salud"",""activa"""
"FonoaudiologiÙa,""Salud"",""activa"""
"Geografia,""General"",""activa"""
"Geologia,""Ciencias"",""activa"""
"Historia,""Ciencias Sociales"",""activa"""
"IngenieriÙa Agricola,""Ingenieria"",""activa"""
"IngenieriÙa Agronomica,""Ingenieria"",""activa"""
"Ingenieria Civil,""Ingenieria"",""activa"""
"IngenieriÙa de Sistemas y Computacion,""Ingenieria"",""activa"""
"IngenieriÙa Electrica,""Ingenieria"",""activa"""
"IngenieriÙa Electronica,""Ingenieria"",""activa"""
"Ingenieria Industrial,""Ingenieria"",""activa"""
"Ingenieria Mecanica,""Ingenieria"",""activa"""
"Ingenieria Mecatronica,""Ingenieria"",""activa"""
"Ingenieria Mecanica,""Ingenieria"",""activa"""
"Linguistica,""General"",""activa"""
"Matematicas,""General"",""activa"""
"Medicina,""Salud"",""activa"""
"Medicina Veterinaria,""Salud"",""activa"""
"Musica,""General"",""activa"""
"Nutricion y Dietetica,""Salud"",""activa"""
"Odontologia,""Salud"",""activa"""
"Psicologia,""General"",""activa"""
"QuiÙmica,""General"",""activa"""
"SociologiÙa,""Ciencias Sociales"",""activa"""
"Terapia Ocupacional,""General"",""activa"""
"Trabajo Social,""General"",""activa"""
"Zootecnia,""General"",""activa"""
"Arte,""Artes"",""activa"""
"Contaduria Internacional,""Administracion"",""activa"""
"Diseþo,""Artes"",""activa"""
"Geociencias,""General"",""activa"""
"Gobierno y Asuntos Publicos,""General"",""activa"""
"Historia del Arte,""Ciencias Sociales"",""activa"""
"IngenieriÙa Ambiental,""Ingenieria"",""activa"""
"IngenieriÙa Biomedica,""Ingenieria"",""activa"""
"IngenieriÙa de Alimentos,""Ingenieria"",""activa"""
"Ingenieria de Sistemas,""Ingenieria"",""activa"""
"Lenguas y Cultura,""General"",""activa"""
"Literatura,""General"",""activa"""
"Microbiologûia,""Ciencias"",""activa"""
"Narrativas Digitales,""General"",""activa"""
"Licenciaturas (Todas),""General"",""activa"""
"Finanzas, Gobierno y RR.II.,""Administracion"",""activa"""
"Comunicacion Social y Periodismo,""General"",""activa"""
"Relaciones Internacionales,""Ciencias Sociales"",""activa"""
"Adm. de Empresas Turisticas y Hoteleras,""General"",""activa"""
"Arqueologia,""General"",""activa"""
"Conservacion y Restauracion,""General"",""activa"""
"Ingenieria (Sistemas, Civil, Industrial, Mecanica),""Ingenieria"",""activa"""
"Bioingenieria,""Ingenieria"",""activa"""
"Diseþo Industrial / Visual,""Artes"",""activa"""
"Comunicacion Social,""General"",""activa"""
"Ciencia Politica / Relaciones Int.,""Ciencias Sociales"",""activa"""
"Artes Visuales / Escenicas,""Artes"",""activa"""
"BiologiÙa / MicrobiologiÙa,""Ciencias"",""activa"""
"FilosofiÙa / Historia / Literatura,""Ciencias Sociales"",""activa"""
"Licenciaturas (Educacion),""General"",""activa"""
"IngenieriÙa Catastral y Geodesia,""Ingenieria"",""activa"""
"Licenciatura en Matematicas,""General"",""activa"""
"Licenciatura en Fisica,""General"",""activa"""
"Licenciatura en Ciencias Sociales,""General"",""activa"""
"Licenciatura en Lengua Castellana,""General"",""activa"""
"Artes Escenicas (ASAB),""Artes"",""activa"""
"Artes Musicales (ASAB),""Artes"",""activa"""
"Artes Danzarias (ASAB),""Artes"",""activa"""
"IngenieriÙa Forestal,""Ingenieria"",""activa"""
"Administracion Deportiva,""Administracion"",""activa"""
"TecnologiÙa en Topografia,""General"",""activa"""
